,b0_level,b1_slope,b2_curvature,lambda
2018-11-05,0.03349046579528583,-0.011358669611806477,-0.0002437763582226952,1.083659623969667
2018-11-06,0.03362519104787463,-0.011448032973370539,0.00015176364170409504,1.0730660085200365
2018-11-07,0.033544991260290945,-0.011463692159629819,0.0003203722006926415,1.1775853557323777
2018-11-08,0.033591959023067317,-0.011832125601079092,-0.0006112090885238343,1.405771640447022
2018-11-09,0.03320304451478578,-0.011272800219580681,-0.0003412184855044954,1.3161622274131823
2018-11-12,0.03320304451478578,-0.011272800219580681,-0.0003412184855044954,1.3161622274131823
2018-11-13,0.03282356727531674,-0.010287421842852933,-4.201489804904027e-05,1.0719268775833735
2018-11-14,0.032684728197450545,-0.010000565422398935,-7.159697448717543e-05,0.9673525874415283
2018-11-15,0.03267745479950028,-0.010215710342237165,0.00013194700089505076,0.9523172733741064
2018-11-16,0.03260317957061349,-0.009865740898413152,-0.00019574481001560171,0.7848673073619415
2018-11-19,0.03285709303297063,-0.009509109147517122,0.00014432765170263587,0.5410512864089086
2018-11-20,0.03271298320571512,-0.009455266197727961,0.0002362637175590473,0.5860953720938165
2018-11-21,0.03266960240951731,-0.009292410294747035,-0.00019118174131065483,0.6362423616844113
2018-11-22,0.03266960240951731,-0.009292410294747035,-0.00019118174131065483,0.6362423616844113
2018-11-23,0.03266065106752405,-0.009238463674890632,-5.5496253798288685e-05,0.6013252484757519
2018-11-26,0.032326443801657063,-0.009199257146514163,-0.00014770544523930935,0.8354814443816475
2018-11-27,0.03270330461806224,-0.008984127084311696,-0.00021018498235401376,0.6172217157236172
2018-11-28,0.03317110320148624,-0.009251074789058806,9.208350243894262e-05,0.4612328294343129
2018-11-29,0.03297621389288419,-0.009130933379821644,-8.196621447270629e-05,0.4656033419572805
2018-11-30,0.03257284978641941,-0.008768635292922149,-0.00010685494212065953,0.5069426116834105
2018-12-03,0.0314503075897995,-0.008057063040445147,-5.475958662249885e-05,0.8826372419963983
2018-12-04,0.030338631757723698,-0.006517446582675233,-0.0002680803001304788,1.0659337027455402
2018-12-05,0.030338631757723698,-0.006517446582675233,-0.0002680803001304788,1.0659337027455402
2018-12-06,0.030869512734912057,-0.006404397880333103,0.000339716708304424,0.41230839637979
2018-12-07,0.03179206498540762,-0.007220374085711061,0.00029085988955067203,0.23005218682859557
2018-12-10,0.03152212466438799,-0.006965119847998728,0.00022327373037734068,0.25869419524130927
2018-12-11,0.029694171333440256,-0.006963128117404797,8.606032956546239e-05,1.6890067642597226
2018-12-12,0.030302595729369775,-0.006751417789562099,-0.000172038612818232,1.00887148088528
2018-12-13,0.03151372693404197,-0.006924185559945059,6.005149870796022e-05,0.35162563986706835
2018-12-14,0.031746372007404614,-0.007037237210977051,-0.00012669654107668772,0.27227473088788656
2018-12-17,0.0317549552166309,-0.007141568602837475,0.00016696413192491129,0.2172987521789665
2018-12-18,0.03162354711598833,-0.007102529046456778,4.05736507650165e-05,0.18660608057716746
2018-12-19,0.03108321254686033,-0.006488708078600703,-3.731031684319499e-05,0.15989108092038531
2018-12-20,0.031121579511912943,-0.006275750974371028,-0.00040330786840138253,0.18447880431288416
2018-12-21,0.03160491712945075,-0.006886665085466528,0.0001900418539313391,0.1439193540760306
2018-12-24,0.0340303580703246,-0.009218719463170797,-0.00013223282993511676,0.06588493306505551
2018-12-25,0.0340303580703246,-0.009218719463170797,-0.00013223282993511676,0.06588493306505551
2018-12-26,0.032144919893829775,-0.007357561154455059,-0.00010405652203732364,0.13958620688900936
2018-12-27,0.0316954002504188,-0.007105760625099146,0.008315601493701344,0.04903977801328302
2018-12-28,0.036455810088125255,-0.012061281190972429,-0.0014054378072917097,0.05875150293656539
2018-12-31,0.0336050671403999,-0.008547739722947596,-0.010048467040120641,0.17739975620753626
2019-01-01,0.0336050671403999,-0.008547739722947596,-0.010048467040120641,0.17739975620753626
2019-01-02,0.03424541947197365,-0.009558669792632759,-0.008655276232796678,0.12475753207862048
2019-01-03,0.03250733138635364,-0.007894919403260717,-0.01340619987951584,0.20842220827987434
2019-01-04,0.034038009359461906,-0.009389011895881356,-0.008741062861188418,0.13451331087756846
2019-01-07,0.03389242532329479,-0.009055366793306945,-0.007088625905168902,0.12705121495331803
2019-01-08,0.03516095456531909,-0.010284854471049269,-0.0006032248466319353,0.0560207673226762
2019-01-09,0.035465200590022554,-0.010744160312224069,-0.0022721201737827793,0.06950133429165488
2019-01-10,0.0363180870666674,-0.01159780267709828,-0.005410478215806422,0.08547758099206668
2019-01-11,0.036457067055593394,-0.01179164206615476,-0.007814083178219036,0.09626382218793407
2019-01-14,0.035745834760158766,-0.01096005502238594,-0.008952388933547675,0.12059453811256425
2019-01-15,0.03619478500957606,-0.011452272138273236,-0.009050108159221725,0.11807688539078344
2019-01-16,0.021545456645564495,0.0030324742059270955,0.040758529472802556,0.01476993051742555
2019-01-17,0.03306846246026924,-0.00847989814117257,0.010293405139721965,0.036013919669923115
2019-01-18,0.03351578048205667,-0.008873618919920853,1.1281298266982411e-05,0.10105302557371149
2019-01-21,0.03351578048205667,-0.008873618919920853,1.1281298266982411e-05,0.10105302557371149
2019-01-22,0.03573404329051773,-0.011080498102894121,0.004861714482800383,0.03903991562490251
2019-01-23,0.034757093180394556,-0.010185445982110217,-0.00033192580282783427,0.07538287169088055
2019-01-24,0.036226264195722904,-0.0117592776754448,-0.0002080407694612498,0.05364677869385363
2019-01-25,0.03385395486951005,-0.0092906667447227,6.853507578608134e-05,0.08271662421951559
2019-01-28,0.03159595723492221,-0.006876193777993162,0.01232093661058505,0.03371058533633919
2019-01-29,0.03763336643179123,-0.01296866421189624,-0.004572135623136958,0.06239581807038637
2019-01-30,0.0358180435124541,-0.01120760945050801,-0.009728598184123624,0.12650179152571267
2019-01-31,0.033975988639176065,-0.009400070820492528,-0.011721220561490575,0.16999795846671822
2019-02-01,0.0354579400186677,-0.011014792123266864,-0.007226054640669396,0.10746118951903073
2019-02-04,0.03498015262218081,-0.010400964493901469,-0.006932651449278208,0.12434058537963509
2019-02-05,0.03453777266823823,-0.009992073823320367,-0.007231554071358543,0.12804474981984834
2019-02-06,0.03520500530251156,-0.010642108438079516,-0.007986104100797945,0.11769754959274384
2019-02-07,0.03380407813087348,-0.009112459294713096,-0.010592123064289813,0.16890073298583905
2019-02-08,0.03307322707700728,-0.008355810884273408,-0.01100494676295666,0.18739163715263588
2019-02-11,0.03382086578631262,-0.008987291011143053,-0.010524695512360535,0.1651932267796614
2019-02-12,0.03434269905587821,-0.009687502957509662,-0.009259762980404044,0.14713726838497873
2019-02-13,0.035722668269908886,-0.011050258906517908,-0.007531560477761488,0.10567326336726374
2019-02-14,0.03458065580056051,-0.00981211099912476,-0.01044211062720666,0.1443927124594094
2019-02-15,0.035863221032391396,-0.011159776920328778,-0.009678348118430777,0.10661956857182579
2019-02-18,0.035863221032391396,-0.011159776920328778,-0.009678348118430777,0.10661956857182579
2019-02-19,0.034068609503272305,-0.009220361490620176,-0.010621930532820893,0.15446528801757414
2019-02-20,0.034798234045946855,-0.010072446152945993,-0.010659075180334555,0.1374335956467729
2019-02-21,0.035278892276493945,-0.01050992768904548,-0.009661719662639056,0.1335822246777339
2019-02-22,0.034537814590315026,-0.009687874425621957,-0.011678306144637671,0.16067558334683474
2019-02-25,0.034683510291584944,-0.009759566106481278,-0.011069223256007406,0.15370097386887088
2019-02-26,0.03425463123428824,-0.009402332639118709,-0.012069827968767629,0.1672947003685136
2019-02-27,0.034856602193466264,-0.010057419849877791,-0.01089165464729882,0.1644885119396497
2019-02-28,0.03456262137848132,-0.009818787991349493,-0.009289042110426965,0.1707511620609328
2019-03-01,0.03596048899437078,-0.011233188367774606,-0.007309935321697558,0.12416531720305302
2019-03-04,0.0602105039629102,-0.03543212253768365,-0.011142043717387945,0.018994428849772836
2019-03-05,0.03536868833604098,-0.010519579984329206,-0.00892099982918872,0.13592638104340396
2019-03-06,0.03495237964925438,-0.010056752598806548,-0.010812872369981895,0.15533097608313326
2019-03-07,0.034217599454999525,-0.009311214979617649,-0.01281791084324268,0.18434393059486276
2019-03-08,0.03372162974134947,-0.008723436993862809,-0.013413419780948725,0.19467057074065494
2019-03-11,0.0344937452373122,-0.00951873314463963,-0.013154944185600755,0.17630145602122657
2019-03-12,0.03379375365342019,-0.008807978956010125,-0.013875460431721283,0.19376422501584784
2019-03-13,0.034763169110651804,-0.009870877652718994,-0.01422332699326653,0.16965861131161336
2019-03-14,0.03409668195586048,-0.009048324982544386,-0.013961927724289966,0.20172870367088724
2019-03-15,0.03428459064596883,-0.009258125766422598,-0.01543615367834269,0.19706393587282545
2019-03-18,0.03409419276703111,-0.00913526202566559,-0.01408685516931556,0.18948877873918266
2019-03-19,0.034227495526490376,-0.009239748890763618,-0.014210708246172135,0.19006338765379263
2019-03-20,0.033543674168393954,-0.008523932532903112,-0.01678804639984002,0.21966774684163246
2019-03-21,0.03285790551674913,-0.007503719751329015,-0.01691248038580576,0.24323303492173068
2019-03-22,0.03192941021578677,-0.006653158626382956,-0.019341974565446802,0.2667580911246573
2019-03-25,0.03142976126725474,-0.006145258512129904,-0.02013262225172103,0.30080151144663686
